idx,DOI,title,appropriate,reason,format,battery_system,cathode_material,anode_material,electrolyte_confirmed,additive_full_name,additive_abbr_name,boron_additive_full_name,boron_additive_abbr_name,abstract,year
11,10.1002/batt.202100124,Electrolyte Chemistry Towards Improved Cycling Stability in Na-Based Dual-Ion Batteries with High-Power/Energy Storage,Yes,Reasonable,Not found,Na-based dual-ion battery,Graphite,Not found,3 mol L-1 NaPF6 in ethylene carbonate (EC): ethyl methyl carbonate (EMC) = 1:1 with 10% fluoroethylene carbonate (FEC) (3MF),Fluoroethylene carbonate,FEC,Not found,Not found,"['Dual-ion batteries (DIBs) have attracted great research interests owing to the co-utilization of cation and anion as charge carriers. Unlike the low energy density (E-den) of supercapacitors and halogen-ion batteries also with anion working, graphite-cathode-based DIBs exhibit obviously higher E-den with high working voltage. However, general electrolytes cannot satisfy the high-energy demand for Na-based DIBs with high power density. Herein, we design an effective electrolyte with optimized performance to limit the occurrence of side reactions during cycling, improving the cycling stability and E-den of Na-based DIBs. Such electrolyte-modified Na-DIBs exhibit higher discharge plateau and specific capacity compared to the pristine batteries, contribute preeminent E-den of 370.4 Wh/kg at a high-power density of 8888.4 W/kg (2.0 A/g), and deliver higher capacity retention of 72 % after 1000 cycles under 40 degrees C (1.0 A/g). All of these improvements are attributed to the interphase protection of anode/cathode by modified electrolyte, and the increase of diffusion ability under high potential. This strategy not only provides reference significance for enhancing the performance of DIBs, but also promotes the development of DIBs with high-power/energy and long-term cycle working condition.']",2021
12,10.1021/acs.chemmater.9b02916,Insights into Boron-Based Polyanion-Tuned High-Nickel Cathodes for High-Energy-Density Lithium-Ion Batteries,No,"The additive information is not found as the paper discusses boron-based polyanion doping, which is not related to electrolyte additives, making it inappropriate for the battery's electrolyte requirements.",Coin and Pouch,Li-ion battery,LiNi0.94Co0.06O2 (NC) and B2O3-LiNi0.94Co0.06O2 (B-NC),Graphite,Not found,Not found,Not found,Not found,Not found,"['Ultrahigh-Ni layered oxide cathodes (Ni content >90%) are at the forefront for potentially enabling higher-energy-density lithium-ion batteries. Unfortunately, they suffer from rapid capacity fade, poor thermal stability, and increased air sensitivity. Introduction of boron-based polyanion into layered cathodes has been found to be effective in stabilizing high-Ni cathodes, but the mechanism behind it is not yet fully understood. To develop a better understanding, we present here an extensive characterization of the ultrahigh-Ni cathode LiNi0.94Co0.06O2 (NC) and B2O3-LiNi0.94C0.06O2 (B - NC). The B-NC delivers a capacity of 223 mA h g(-1) with 80% capacity retention after 400 cycles in full cells with graphite anodes, superior to 61% retention for NC. In-depth interphase investigations reveal that the improved cyclability is attributed to the development of a well-passivated boron/phosphorus-rich cathode-electrolyte interphase in B- NC. Moreover, B-NC demonstrates a considerably enhanced air-exposure and thermal stability. A 30-day air-stored B-NC delivers a discharge capacity of 125 mA h g(-1) at 10C rate, in sharp contrast to 65 mA h g(-1) for the stored NC. This work advances the understanding of the effect boron-based polyanion insertion into layered oxides has on battery performance and offers a viable strategy for developing practically viable ultrahigh-Ni cathodes with high-energy density.']",2019
13,10.1021/acsami.6b05403,Facile Synthesis of Boron-Doped rGO as Cathode Material for High Energy Li-O2 Batteries,Not found,Not found,Swagelok-type,Li-O2 battery,Boron-doped reduced graphite oxide (B-rGO),Lithium metal,1M lithium bis(trifluoromethanesulfonyl)imide (LiTFSI) in tetraethylene glycol dimethyl ether (TEGDME),Not found,Not found,Not found,Not found,"['To improve the electrochemical performance of the high energy Li-O-2 batteries, it is important to design and construct a suitable and effective oxygen-breathing cathode. Herein, a three-dimensional (3D) porous boron-doped reduction graphite oxide (B-rGO) material with a hierarchical structure has been prepared by a facile freeze-drying method. In this design, boric acid as the boron source helps to form the 3D porous structure, owing to its cross-linking and pore-forming function. This architecture facilitates the rapid oxygen diffusion and electrolyte penetration in the electrode. Meanwhile, the boron-oxygen functional groups linking to the carbon surface or edge serve as additional reaction sites to activate the ORR process. It is vital that boron atoms have been doped into the carbon lattices to greatly activate the electrons in the carbon p system, which is beneficial for fast charge under large current densities. Density functional theory calculation demonstrates that B-rGO exhibits much stronger interactions with Li5O6 clusters, so that B-rGO more effectively activates Li-O bonds to decompose Li2O(2) during charge than rGO does. With B-rGO as a catalytic substrate, the Li-O-2 battery achieves a high discharge capacity and excellent rate capability. Moreover, catalysts could be added into the B-rGO substrate to further lower the overpotential and enhance the cycling performance in future.']",2016
14,10.1002/sstr.202500157,Unfolding the Network Structure of [Pyr14Cl/(BCl3)0.25]/(δ-MgCl2)x Ionic Liquid Using the BCl4- Probe,No,"Electrolyte and additive information not provided, so appropriateness cannot be determined.",Not found,Magnesium battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['Magnesium batteries are emerging as a cutting-edge energy storage solution poised to revolutionize the battery industry. In this context, electrolytes play a pivotal role in the development of reliable and efficient devices. A family of new ionic liquid-based electrolytes is proposed for potential application in magnesium batteries. These electrolytes are synthesized through the reaction of 1-butyl-1-methylpyrrolidinium chloride (Pyr14Cl), boron trichloride, and varying amounts of delta-MgCl2. The thermal, structural, and coordination properties of the proposed electrolytes are studied using density functional theory calculations, high resolution thermogravimetry, modulated differential scanning calorimetry, and Fourier transform infrared investigations. For the first time, the structure and nature of interactions characterizing the anionic and cationic domains of ionic liquid electrolytes, as a function of delta-MgCl2 doping, are examined using BCl4- as a spectroscopic ion probe. These results are combined with features of electric response, as well as structural and local relaxation events investigated through broadband electrical spectroscopy and nuclear magnetic resonance studies, respectively, to elucidate the unique characteristics and conductivity mechanisms of the proposed materials. Finally, the reasonably high ionic conductivity of these electrolytes at room temperature makes these materials very promising for application in magnesium battery prototypes.']",2025
15,10.1039/d0ee01569e,4 V room-temperature all-solid-state sodium battery enabled by a passivating cathode/hydroborate solid electrolyte interface,No,Additive not found in the provided information.,Pellet (pressed),Sodium-ion battery,Na3(VOPO4)2F,Sodium metal,Na4(CB11H12)2(B12H12),Not found,Not found,Not found,Not found,"['Designing solid electrolytes for all-solid-state-batteries that can withstand the extreme electrochemical conditions in contact with an alkali metal anode and a high-voltage cathode is challenging, especially when the battery is cycled beyond 4 V. Here we demonstrate that a hydroborate solid electrolyte Na-4(CB11H12)(2)(B12H12), built from two types of cage-like anions with different oxidative stability, can effectively passivate the interface to a 4 V-class cathode and prevent impedance growth during cycling. We show that [B12H12](2-) anions decompose below 4.2 V vs. Na+/Na to form a passivating interphase layer, while [CB11H12](-) anions remain intact, providing sufficient ionic conductivity across the layer. Our interface engineering strategy enables the first demonstration of a 4 V-class hydroborate-based all-solid-state battery combining a sodium metal anode and a cobalt-free Na-3(VOPO4)(2)F cathode without any artificial protective coating. When cycled to 4.15 V vs. Na+/Na, the cells feature a discharge capacity of 104 mA h g(-1) at C/10 and 99 mA h g(-1) at C/5, and an excellent capacity and energy retention of 78% and 76%, respectively, after 800 cycles at C/5 at <0.2 MPa at room temperature. Increasing the pressure to 3.2 MPa enables a discharge capacity of 117 mA h g(-1) at C/10 with a mass loading of 8.0 mg cm(-2), corresponding to an areal capacity close to 1.0 mA h cm(-2). The cell holds the highest average discharge cell voltage of 3.8 V and specific energy per cathode active material among all-solid-state sodium batteries reported so far, emphasizing the potential of hydroborates as electrolytes for a competitive all-solid-state battery technology.']",2020
16,10.1016/S0378-7753(99)00049-X,Chelate complexes with boron as lithium salts for lithium battery electrolytes,Yes,Reasonable,Coin,Li-ion battery,V2O5,Lithium,"Propylene carbonate (PC) and ethylene carbonate (EC)-based binary solvent electrolytes with various lithium salts including LBBB, LBNB, LBBPB, LiPF6, LiClO4, LiBF4, LiCF3SO3, and LiBPh4 in mixtures with THF or DME","Lithium bis(1,2-benzenediolato(2-)-O,O) borate (LBBB), Lithium bis(2,3-naphthalenediolato(2-)-O,O) borate (LBNB), Lithium bis(2,2-biphenyldiolato(2-)-O,O) borate (LBBPB)","LBBB, LBNB, LBBPB","Lithium bis(1,2-benzenediolato(2-)-O,O) borate (LBBB), Lithium bis(2,3-naphthalenediolato(2-)-O,O) borate (LBNB), Lithium bis(2,2-biphenyldiolato(2-)-O,O) borate (LBBPB)","LBBB, LBNB, LBBPB","[""The electrolytic conductivity and charge-discharge characteristics of lithium electrodes are examined in propylene carbonate (PC)and ethylene carbonate (EC)-based binary solvent electrolytes containing lithium bis[l,2-benzenediolato(2-)-O,O']borate (LBBB), lithium bis[2,3-naphthalenediolato(2-)-O,O']borate (LBNB) and lithium bis[2,2'-biphenyldiolato(2-)-O,O']borate (LBBPB). The LBBPB exhibits high thermal and electrochemical stability compared with LBBB and LBNB. Conductivities in PC-THF and EC-THF binary solvent electrolytes at X-THF (mole fraction of tetrahydrofuran, THF) = 0.5 containing 0.5 M LBBB and LBNB are nearly equal to that in 0.5 M LiCF3SO3 electrolyte as a typical lithium battery electrolyte. The conductivity in 0.3 M LBBPB/PC-DME (DME: 1,2-dimethoxyethane) electrolyte is fairly low compared with that in other electrolytes. The energy density with the LBNB electrolyte is higher than that with LBBB or LBBPB electrolyte. In general, lithium cycling efficiencies in THF-based LBBB and LBNB electrolytes become higher than those in DME-based electrolytes. The 0.5 M LBNB/PC-THF electrolyte is a moderately rechargeable lithium battery electrolyte. The 0.3 M LBBPB/PC-DME equimolar solvent electrolyte displays the highest cycling efficiency, viz., > 70%, at a high range of cycle number. (C) 1999 Elsevier Science S.A. All rights reserved.""]",1999
17,10.1002/aenm.202501074,The Origin of Improved Performance in Boron-Alloyed Silicon Nanoparticle-Based Anodes for Lithium-Ion Batteries,No,"The additive is not found in the provided information, as the paper discusses boron alloying in silicon anodes, not electrolyte additives, making it inappropriate for the battery's electrolyte requirements.",Coin,Li-ion battery,NMC811,Silicon-Boron alloy (Si-B) with graphite not mentioned; primary anode is silicon-based,Not found,Not found,Not found,Not found,Not found,"['Stabilizing the solid electrolyte interphase (SEI) remains a key challenge for silicon-based lithium-ion battery anodes. Alloying silicon with secondary elements like boron has emerged as a promising strategy to improve the cycle life of silicon anodes, yet the underlying mechanism remains unclear. To address this knowledge gap, how boron concentration influences battery performance is systematically investigated. These results show a near-monotonic increase in cycle lifetime with higher boron content, with boron-rich electrodes significantly outperforming pure silicon. Additionally, silicon-boron alloy anodes exhibit nearly three times longer calendar life than pure silicon. Through detailed mechanistic analysis, alternative contributing factors are systematically ruled out, and it is proposed that improved passivation arises from a strong permanent dipole at the nanoparticle surface. This dipole, formed by undercoordinated and highly Lewis acidic boron, creates a static, ion-dense layer that stabilizes the electrochemical interface, reducing parasitic electrolyte decomposition and enhancing long-term stability. These findings suggest that, within the SEI framework, the electric double layer is an important consideration in surface passivation. This insight provides an underexplored parameter space for optimizing silicon anodes in next-generation lithium-ion batteries.']",2025
18,10.1039/c8ra01676c,Structural elucidation of NASICON (Na3Al2P3O12) based glass electrolyte materials: effective influence of boron and gallium,No,"Electrolyte and additive information not provided, so it is impossible to determine appropriateness.",Not found,Sodium-ion battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['Understanding the conductivity variations induced by compositional changes in sodium super ionic conducting (NASICON) glass materials is highly relevant for applications such as solid electrolytes for sodium (Na) ion batteries. In the research reported in this paper, NASICON-based NCAP glass (Na2.8Ca0.1Al2P3O12) was selected as the parent glass. The present study demonstrates the changes in the Na+ ion conductivity of NCAP bulk glass with the substitution of boron (NCABP: Na2.8Ca0.1Al2B0.5P2.7O12) and gallium (NCAGP: Na2.8Ca0.1Al2Ga0.5P2.7O12) for phosphorus and the resulting structural variations found in the glass network. For a detailed structural analysis of NCAP, NCABP and NCAGP glasses, micro-Raman and magic angle spinning-nuclear magnetic resonance (MAS-NMR) spectroscopic techniques (for P-31, Al-27, Na-23, B-11 and Ga-71 nuclei) were used. The Raman spectrum revealed that the NCAP glass structure is more analogous to the AlPO4 mesoporous glass structure. The P-31 MAS-NMR spectrum illustrated that the NCAP glass structure consists of a high concentration of Q(0) (3Al) units, followed by Q(0) (2Al) units. The Al-27 MAS-NMR spectrum indicates that alumina exists at five different sites, which include AlO4 units surrounded by AlO6 units, Al(OP)(4), Al(OP)(5), Al(OAl)(6) and Al(OP)(6), in the NCAP glass structure. The P-31, Al-27 and B-11 MAS-NMR spectra of the NCABP glass revealed the absence of B-O-Al linkages and the presence of B-3-O-B-4-O-P-4 linkages which further leads to the formation of borate and borophosphate domains. The Ga-71 MAS-NMR spectrum suggests that gallium cations in the NCAGP glass compete with the alumina cations and occupy four (GaO4), five (GaO5) and six (GaO6) coordinated sites. The Raman spectrum of NCAGP glass indicates that sodium cations have also been substituted by gallium cations in the NCAP glass structure. From impedance analysis, the dc conductivity of the NCAP glass (approximate to 3.13 x 10(-8) S cm(-1)) is slightly decreased with the substitution of gallium (approximate to 2.27 x 10(-8) S cm(-1)) but considerably decreased with the substitution of boron (approximate to 1.46 x 10(-8) S cm(-1)). The variation in the conductivity values are described based on the structural changes of NCAP glass with the substitution of gallium and boron.']",2018
19,10.1149/2.1091702jes,"Studies of Gas Generation, Gas Consumption and Impedance Growth in Li-Ion Cells with Carbonate or Fluorinated Electrolytes Using the Pouch Bag Method",Yes,Reasonable,Pouch,Li-ion battery,NMC442,Graphite,1M LiPF6 in EC:EMC (3:7 by weight) + 2% PES + 2% DTD + 2% TTSPi (PES222) or 1M LiPF6 in TFEC and FEC (1:1 by weight) + 1% PES (TFEC/FEC),"Prop-1-ene-1,3-sultone (PES), 1,3,2-dioxathiolane-2,2-dioxide (DTD), tris-(trimethyl-silyl) phosphite (TTSPi), and fluorinated solvents (TFEC, FEC)","PES, DTD, TTSPi, TFEC, FEC",Not found,Not found,"['Li[Ni0.42Mn0.42Co0.16]O-2 (NMC442)/graphite pouch cells with an ethylene carbonate-containing or a fluorinated electrolyte were used to prepare charged electrodes for studies using pouch bags. Sealed pouch bags containing either lithiated graphite or delithiated NMC442 electrodes taken from pouch cells, and also sister pouch cells, were subjected to 500 h storage at elevated temperature. The electrodes recovered from the pouch bags and pouch cells after storage were studied using electrochemical impedance spectroscopy and X-ray photoelectron spectroscopy while the gases generated were quantified using gas chromatography. The fluorinated electrolyte suppressed impedance growth of the positive electrode during storage but caused a large initial negative electrode impedance compared to the carbonate electrolyte. The solid electrolyte interface (SEI) formed by the fluorinated electrolyte at the graphite electrode hinders the consumption of CO2 generated at the delithiated NMC442 electrode, leading to more CO2 in pouch cells with fluorinated electrolyte than in cells with carbonate electrolyte. Hydrogen gas was only observed in pouch cells after storage and not in pouch bags which contained either a single negative electrode plus electrolyte or a single positive electrode plus electrolyte, suggesting the H-2 results from a species created at one electrode which reacts at the other in a pouch cell. (C) The Author(s) 2016. Published by ECS.']",2017
20,10.1021/acsami.9b17438,Operando Fourier Transform Infrared Investigation of Cathode Electrolyte lnterphase Dynamic Reversible Evolution on Li1.2Ni0.2Mn0.6O2,Yes,Reasonable,Coin,Li-ion battery,Li1.2Ni0.2Mn0.6O2,Graphite,1M LiPF6 in EC/EMC (v/v=1:1) with or without 0.5% TMSB,tris(trimethylsilyl) borate (TMSB),TMSB,tris(trimethylsilyl) borate,TMSB,"['One of the keys to the cycling stability of electrode materials is the formation of a stable interface film on cathode materials, which is called a cathode electrolyte interphase (CEI). For a Li/Mn-rich cathode, especially, the high working voltage will cause an extremely unstable electrolyte environment, becoming a challenge for the stable interface film formation. In this work, an operando-attenuated total reflection-Fourier transform infrared (ATR-FTIR) technique is developed to monitor in real time the dynamic mechanism of CEI formation in a carbonate-based electrolyte with or without the moderate additive tris(trimethylsilyl)-borate (TMSB), which could promote the formation and stability of high-quality CEI films when it charges to 4.8 V. It is interesting that the components of CEI are basically generated in the first cycle owing to ethylene carbonate (EC) priority decomposition. Besides, the presence of TMSB can suppress the decomposition of EC in part and modify the stability of the CEI film. This is because TMSB containing an electron-deficient boron atom can easily combine with an electron-rich F- and PF6- forming a polyanion group initially, which will weaken the electrostatic force between the anionic groups and EC to reduce the concentration of EC on the cathode surface and prevent the continuous decomposition of EC at a high voltage. X-ray photoelectron spectroscopy also verifies the presence of polyanion groups and their further participation in CEI formation. This work highlights the dynamical stability of CEI modified by moderate TMSB and the formation mechanism of this dynamical change during cycling characterized by the operando ATR-FTIR technique, which paves the way for a better understanding of the complex and hard-characterized cathode interface reactions.']",2019
21,10.1002/anie.201602504,Rechargeable Room-Temperature Na-CO2 Batteries,No,"Additive is not found, so it cannot be evaluated for appropriateness.",Coin,Na–CO2 battery,TEGDME-treated multi-wall carbon nanotubes (t-MWCNT),Na foil,1M NaClO4 in tetraethylene glycol dimethyl ether (TEGDME),Not found,Not found,Not found,Not found,"['Developing rechargeable Na-CO2 batteries is significant for energy conversion and utilization of CO2. However, the reported batteries in pure CO2 atmosphere are non-rechargeable with limited discharge capacity of 200 mAhg(-1). Herein, we realized the rechargeability of a Na-CO2 battery, with the proposed and demonstrated reversible reaction of 3CO(2) + 4Na <-> 2Na(2)CO(3) + C. The battery consists of a Na anode, an ether-based electrolyte, and a designed cathode with electrolyte-treated multi-wall carbon nanotubes, and shows reversible capacity of 60000 mAhg(-1) at 1 Ag-1 (approximate to 1000 Whkg(-1)) and runs for 200 cycles with controlled capacity of 2000 mAhg(-1) at charge voltage < 3.7 V. The porous structure, high electro-conductivity, and good wettability of electrolyte to cathode lead to reduced electrochemical polarization of the battery and further result in high performance. Our work provides an alternative approach towards clean recycling and utilization of CO2.']",2016
22,10.1007/s11051-018-4451-8,Functional separator for Li/S batteries based on boron-doped graphene and activated carbon,Not found,Not found,Coin,Li/S battery,Carbon/sulfur (C/S) composite,Lithium,"1 M LiTFSI and 0.1 M LiNO3 in a mixed solvent of 1,3-dioxolane (DOL) and 1,2-dimethoxy ethane (DME) (1:1, v/v)",Not found,Not found,Not found,Not found,"['Lithium/sulfur (Li/S) batteries have received great attention due to their high theoretical energy density, but the shuttle effect of polysulfides restricts the further development of Li/S batteries. The construction of modified functional separator is an effective strategy to obstruct the diffusion of polysulfides. We report boron-doped graphene and activated carbon (B-G/AC)-modified functional separator for Li/S batteries. The B-G/AC composites are obtained via a one-step hydrothermal method and used as a functional layer to modify the battery separator. The B-G with highly porous three-dimensional (3D) network structure exhibits good electrical conductivity, and rich porous structure AC increases the specific surface area of the B-G/AC composite. The carbon coating layer can act as the second collector, utilizing the inactivated sulfur that is freed in the electrolyte. The modified separator can facilitate the polysulfide dissolution and migration towards the anode. The B-G/AC samples exhibit excellent electrochemical performances. The B-G/AC samples maintain a higher capacity of 1062mAhg(-1) after 100 cycles at 0.1C than a routine separator (709mAhg(-1) after 100 cycles at 0.1C). Diffusion experiments of polysulfides in U-shaped bottles also proved importance of B-G/AC as a separator. In addition, the B-G/AC samples also exhibit excellent cycling stability over 300 cycles, delivering a discharge capacity of 534mAhg(-1) when the current is 1C. The present study confirms that separator modification is an effective technique that leads to good electrochemical performance.']",2018
23,10.1002/adma.201803533,Borohydride-Scaffolded Li/Na/Mg Fast Ionic Conductors for Promising Solid-State Electrolytes,Not found,Not found,Not found,"Li-ion battery, Na-ion battery, Mg-ion battery","TiS2, LiCoO2, NaCrO2, S, Li4Ti5O12, MgH2, organic electrodes","Li, Na, Mg, Graphite, In, LiIn, LiAl",Not found,Not found,Not found,Not found,Not found,"['Borohydride solid-state electrolytes with room-temperature ionic conductivity up to approximate to 70 mS cm(-1) have achieved impressive progress and quickly taken their place among the superionic conductive solid-state electrolytes. Here, the focus is on state-of-the-art developments in borohydride solid-state electrolytes, including their competitive ionic-conductive performance, current limitations for practical applications in solid-state batteries, and the strategies to address their problems. To open, fast Li/Na/Mg ionic conductivity in electrolytes with BH4- groups, approaches to engineering borohydrides with enhanced ionic conductivity, and later on the superionic conductivity of polyhedral borohydrides, their correlated conductive kinetics/thermodynamics, and the theoretically predicted high conductive derivatives are discussed. Furthermore, the validity of borohydride pairing with coated oxides, sulfur, organic electrodes, MgH2, TiS2, Li4Ti5O12, electrode materials, etc., is surveyed in solid-state batteries. From the viewpoint of compatible cathodes, the stable electrochemical windows of borohydride solid-state electrolytes, the electrode/electrolyte interface behavior and battery device design, and the performance optimization of borohydride-based solid-state batteries are also discussed in detail. A comprehensive coverage of emerging trends in borohydride solid-state electrolytes is provided and future maps to promote better performance of borohydride SSEs are sketched out, which will pave the way for their further development in the field of energy storage.']",2018
24,10.1002/celc.201900411,Phosphorus and Boron Co-Doped Carbon Coating of LiNi0.5Mn1.5O4 Cathodes for Advanced Lithium-ion Batteries,Not found,Not found,Coin,Li-ion battery,LiNi0.5Mn1.5O4 (LNMO),Lithium foil,1 M LiPF6 in a mixture of ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1 by volume),Not found,Not found,Not found,Not found,"['A facile approach for the preparation of phosphorus and boron co-doped carbon coated LiNi0.5Mn1.5O4, which is then applied as cathode materials for lithium ion batteries has been investigated. The effect of carbon coating amounts on the battery performance has been studied systematically. The 5 wt.% carbon coated sample exhibits the most outstanding performance, including an excellent capacity retention of 96.7% after 200 cycles, superior rate capability (111 mAhg(-1) capacity at 5 C), and significantly improved cycle life under 1 C. It is believed that the phosphorus and boron co-doped carbon coating layer could suppress side-reactions between the electrolyte and LiNi0.5Mn1.5O4, and alleviate the dissolution of manganese ions into the electrolyte effectively. Moreover, electrochemical impedance spectroscopy results reveal that the phosphorus and boron co-doped carbon coating on LiNi0.5Mn1.5O4 could reduce the charge transfer resistance significantly. The composite cathode therefore provides good conductivity as well as fast Li-ion diffusion, then resulting in better rate capability and cycle life, even under a high temperature of 55 degrees C.']",0
